Episode: 0, Training reward: 32.641549267868896, Testing reward: 7.8558623343574725
Episode: 1, Training reward: 29.087702689175654, Testing reward: 6.3177561598759615
Episode: 2, Training reward: 10.63359974104126, Testing reward: 2.4328426075788325
Episode: 3, Training reward: 8.178125414525327, Testing reward: 1.613871408605699
Episode: 4, Training reward: -22.467441673875133, Testing reward: 6.193734225157631
Episode: 5, Training reward: 54.714612315632664, Testing reward: 6.261778779434174
Episode: 6, Training reward: -15.57912841328189, Testing reward: 13.708264008144347
Episode: 7, Training reward: 58.12679492992206, Testing reward: 15.922010578999414
Episode: 8, Training reward: 32.606930650605605, Testing reward: 20.123100821841174
Episode: 9, Training reward: 6.583124291634512, Testing reward: 20.4157271676168
Episode: 10, Training reward: 7.400051209912574, Testing reward: 18.74522930573488
Episode: 11, Training reward: 41.23949203917017, Testing reward: 16.083062995077753
Episode: 12, Training reward: 54.054946268243526, Testing reward: 20.459112465639826
Episode: 13, Training reward: 33.786654136788336, Testing reward: 18.593145504235157
Episode: 14, Training reward: 10.578240724080217, Testing reward: 22.38225681264896
Episode: 15, Training reward: 53.61072456478132, Testing reward: 10.474269527829946
Episode: 16, Training reward: 12.937328820944886, Testing reward: 2.9075557044594365
Episode: 17, Training reward: -10.55026228517216, Testing reward: 2.0278750353584463
Episode: 18, Training reward: 62.28143320616272, Testing reward: -1.3075826770498384
Episode: 19, Training reward: -22.300559012311794, Testing reward: 0.1274488813591762
Episode: 20, Training reward: 48.03296304861944, Testing reward: 1.3331666622480352
Episode: 21, Training reward: 67.95693546497937, Testing reward: 1.0959846429324662
Episode: 22, Training reward: 42.45668532845779, Testing reward: 2.191320677761704
Episode: 23, Training reward: 21.92441680006588, Testing reward: -1.4923617168869272
Episode: 24, Training reward: 50.2974253340262, Testing reward: 1.4942034680115839
Episode: 25, Training reward: 58.31579212936236, Testing reward: 2.673278004576609
Episode: 26, Training reward: 25.87813250697985, Testing reward: 2.9464018721089396
Episode: 27, Training reward: 5.77558874569772, Testing reward: 0.21052840315619026
Episode: 28, Training reward: -6.7427489328190955, Testing reward: -1.2815147444626869
Episode: 29, Training reward: 50.79666686852274, Testing reward: -0.8952017127206274
Episode: 30, Training reward: 3.463551205617732, Testing reward: 1.921693285398255
Episode: 31, Training reward: 67.69853370093408, Testing reward: 0.0781759428258223
Episode: 32, Training reward: 55.18150560819062, Testing reward: -2.4008037902546358
Episode: 33, Training reward: 49.98617717714561, Testing reward: -2.6200196551358443
Episode: 34, Training reward: 61.31577401829152, Testing reward: -4.839594675429266
Episode: 35, Training reward: 10.349656781059958, Testing reward: -5.532992925779929
Episode: 36, Training reward: 25.465175447943896, Testing reward: -3.6497672647418753
