Episode: 0, Training reward: 46.17005322012236, Testing reward: 8.045468603028397
Episode: 1, Training reward: 5.598932038208728, Testing reward: -1.704574271521676
Episode: 2, Training reward: 38.65333520822166, Testing reward: 31.509954115784904
Episode: 3, Training reward: 59.70158299247519, Testing reward: -4.5704800513926624
Episode: 4, Training reward: -4.062921854181584, Testing reward: -11.192784683396594
Episode: 5, Training reward: 35.21598207304246, Testing reward: -12.349266308504195
Episode: 6, Training reward: 36.845779336707686, Testing reward: 0.5050128257435833
Episode: 7, Training reward: 15.68369891775989, Testing reward: 16.643148626319764
Episode: 8, Training reward: 49.21771445564284, Testing reward: 26.163641384566727
Episode: 9, Training reward: 55.80843186479002, Testing reward: 7.063726666507073
Episode: 10, Training reward: 28.70735362465938, Testing reward: -5.943097608721894
Episode: 11, Training reward: 37.82780398968008, Testing reward: 19.12688590616554
Episode: 12, Training reward: 27.228310428452193, Testing reward: -3.2311604607491935
Episode: 13, Training reward: 12.692545738639591, Testing reward: -32.46388512688053
Episode: 14, Training reward: 42.85404762857871, Testing reward: -6.150833803391964
Episode: 15, Training reward: 65.40056627030845, Testing reward: 4.275362436189772
Episode: 16, Training reward: 55.68024066206127, Testing reward: 12.31949121803742
Episode: 17, Training reward: -17.886304921238008, Testing reward: -9.866917493331382
Episode: 18, Training reward: 47.73592547696111, Testing reward: 22.19556036594172
Episode: 19, Training reward: 41.921244802088225, Testing reward: -0.741583162441725
Episode: 20, Training reward: 29.963061183074537, Testing reward: -2.065123422929298
Episode: 21, Training reward: 31.558024334828307, Testing reward: -10.348512709821042
Episode: 22, Training reward: 37.767851996583786, Testing reward: 24.709748310610152
Episode: 23, Training reward: 21.45679348018193, Testing reward: -2.778206389992985
Episode: 24, Training reward: 27.563459193343142, Testing reward: 19.21043213043051
Episode: 25, Training reward: -1.5314559940942116, Testing reward: 15.469938170514887
Episode: 26, Training reward: 41.24404738230518, Testing reward: 13.935729454855336
Episode: 27, Training reward: 10.763378178527866, Testing reward: 7.156177681492671
Episode: 28, Training reward: 19.475957531081853, Testing reward: 9.389887769515978
Episode: 29, Training reward: 14.460264252720004, Testing reward: 16.066062758059747
Episode: 30, Training reward: 10.553086700907174, Testing reward: -3.5162859434277545
Episode: 31, Training reward: 51.098055857422715, Testing reward: -8.128072365329274
Episode: 32, Training reward: 45.12843768648793, Testing reward: 4.305015547223065
Episode: 33, Training reward: 48.919960234071105, Testing reward: -4.7732870790362005
Episode: 34, Training reward: 28.629361992222655, Testing reward: -21.257203828546963
Episode: 35, Training reward: 10.506771712607183, Testing reward: -19.425356353483778
Episode: 36, Training reward: 22.433213187657852, Testing reward: -0.3203545774819845
Episode: 37, Training reward: 23.121685016561543, Testing reward: 19.71815207948886
Episode: 38, Training reward: 35.004328387589496, Testing reward: -0.14994575320694592
Episode: 39, Training reward: 25.114495328527322, Testing reward: 16.40022509227536
Episode: 40, Training reward: 20.641038263420374, Testing reward: 5.295706850406585
Episode: 41, Training reward: 58.79238775012634, Testing reward: 23.190875401424453
Episode: 42, Training reward: 36.10136026215805, Testing reward: -14.692435361255706
Episode: 43, Training reward: 31.32999010038889, Testing reward: -9.064744995384471
Episode: 44, Training reward: 46.28692582701627, Testing reward: -2.7721350224677366
Episode: 45, Training reward: 35.45340767496035, Testing reward: -6.59383467914551
Episode: 46, Training reward: 78.79769916687158, Testing reward: 13.65598729840008
Episode: 47, Training reward: 22.204510285700934, Testing reward: -0.38062105949549085
Episode: 48, Training reward: 25.967262355266225, Testing reward: -3.155404790511059
Episode: 49, Training reward: 29.328446820814673, Testing reward: -11.604863358791043
Episode: 50, Training reward: 8.747477448555275, Testing reward: -8.965725690237885
Episode: 51, Training reward: 10.807389223462243, Testing reward: -0.7386111616326064
Episode: 52, Training reward: 9.749512981739445, Testing reward: 2.4640850977504156
Episode: 53, Training reward: 45.80299510882871, Testing reward: 2.835422969004171
Episode: 54, Training reward: 27.686554242006714, Testing reward: -2.119572540208339
Episode: 55, Training reward: 45.17752768383165, Testing reward: -7.121877769323947
Episode: 56, Training reward: 26.32937744705817, Testing reward: -5.695919527520465
Episode: 57, Training reward: 34.11390501923078, Testing reward: 5.374353958323498
Episode: 58, Training reward: 73.1071215723042, Testing reward: -4.30937152919726
Episode: 59, Training reward: 17.196427812010544, Testing reward: -16.989488475798545
Episode: 60, Training reward: 44.793458699132316, Testing reward: -8.895617142244172
Episode: 61, Training reward: 26.401629939785725, Testing reward: 18.832274658898953
Episode: 62, Training reward: 38.84526964980403, Testing reward: -10.774512134941594
Episode: 63, Training reward: 24.688582520591996, Testing reward: 5.696057315609389
Episode: 64, Training reward: 50.648592421111225, Testing reward: -3.989161803501149
Episode: 65, Training reward: 81.03658267509047, Testing reward: 7.700706519271545
Episode: 66, Training reward: 31.88954055664886, Testing reward: -9.5296265636432
Episode: 67, Training reward: 31.526685018965225, Testing reward: -6.245166142653194
Episode: 68, Training reward: 31.375485224375367, Testing reward: 4.507499610540262
Episode: 69, Training reward: 49.036135056470854, Testing reward: 5.841917421769715
Episode: 70, Training reward: 12.499880819911894, Testing reward: -6.355571634799329
Episode: 71, Training reward: 75.87611869317088, Testing reward: -20.258400253128702
Episode: 72, Training reward: 31.05045913808546, Testing reward: -21.426788549947585
Episode: 73, Training reward: 41.80063527043015, Testing reward: -16.580995320990638
Episode: 74, Training reward: 47.416287247271626, Testing reward: -12.230884340300555
Episode: 75, Training reward: 35.608388051911604, Testing reward: 13.800426445188892
Episode: 76, Training reward: 35.27434112718479, Testing reward: -4.962481737851922
Episode: 77, Training reward: 16.919795012089462, Testing reward: 11.932178373975022
Episode: 78, Training reward: 26.970690711190812, Testing reward: 9.538426049231354
Episode: 79, Training reward: 12.334859448873544, Testing reward: 5.549364453852489
Episode: 80, Training reward: 14.361218207667115, Testing reward: 9.51835292630065
Episode: 81, Training reward: 41.675784892654285, Testing reward: 4.581100361273627
Episode: 82, Training reward: 35.490570095318745, Testing reward: 18.100951829131724
Episode: 83, Training reward: 29.62725028958162, Testing reward: -9.257334318912912
Episode: 84, Training reward: 44.57769331277165, Testing reward: -8.356023309953732
Episode: 85, Training reward: 51.67787446034056, Testing reward: -6.480986157196881
Episode: 86, Training reward: 49.83789701030998, Testing reward: -3.4451664116862646
Episode: 87, Training reward: 43.09094704233204, Testing reward: 52.57932546224872
Episode: 88, Training reward: 41.6304328394354, Testing reward: -8.922125255010286
Episode: 89, Training reward: 59.171480059225736, Testing reward: 13.162926153332432
Episode: 90, Training reward: 77.81343072739419, Testing reward: -0.13931424717250596
Episode: 91, Training reward: 58.85715844838873, Testing reward: -6.674480993318222
Episode: 92, Training reward: 38.29445184461817, Testing reward: -5.400801075465527
Episode: 93, Training reward: 5.438751896006675, Testing reward: 16.313830254669647
Episode: 94, Training reward: 55.290796646668056, Testing reward: -10.94720677399885
Episode: 95, Training reward: 4.047026443131559, Testing reward: 8.595086412071677
Episode: 96, Training reward: 10.83823399914602, Testing reward: -9.146170985724819
Episode: 97, Training reward: 32.5992398040054, Testing reward: -30.589992196379274
Episode: 98, Training reward: 25.13684220259281, Testing reward: -11.62245315159243
Episode: 99, Training reward: 57.54119699219845, Testing reward: 2.230029410095858
Episode: 100, Training reward: -6.602575613986516, Testing reward: 15.75334327707446
Episode: 101, Training reward: 32.35230120500677, Testing reward: -7.945028677049086
Episode: 102, Training reward: 49.886815088528685, Testing reward: -39.75872965346139
Episode: 103, Training reward: 28.015184076457377, Testing reward: -21.142007870643486
